,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,img_seg_path,str_code,Unnamed: 0.1,Unnamed: 0,year,month,day,hour,minute,path_dyamond,UTC
814,814.0,814.0,814,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-33.nc,2016-8-31-16-30,1472,1472,2016,8,31,16,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000353520,17044.33
815,815.0,815.0,815,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-10.nc,2016-8-31-5-0,1449,1449,2016,8,31,5,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000348000,17044.1
816,816.0,816.0,816,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-40.nc,2016-8-31-20-0,1479,1479,2016,8,31,20,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000355200,17044.4
817,817.0,817.0,817,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-16.nc,2016-8-31-8-0,1455,1455,2016,8,31,8,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000349440,17044.16
818,818.0,818.0,818,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-14.nc,2016-8-31-7-0,1453,1453,2016,8,31,7,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000348960,17044.14
819,819.0,819.0,819,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-03.nc,2016-8-31-1-30,1442,1442,2016,8,31,1,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000346320,17044.03
820,820.0,820.0,820,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-30.nc,2016-8-31-15-0,1469,1469,2016,8,31,15,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000352800,17044.3
821,821.0,821.0,821,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-01.nc,2016-8-31-0-30,1440,1440,2016,8,31,0,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000346080,17044.01
822,822.0,822.0,822,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-48.nc,2016-9-1-0-0,1487,1487,2016,9,1,0,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000357120,17044.48
823,823.0,823.0,823,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-39.nc,2016-8-31-19-30,1478,1478,2016,8,31,19,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000354960,17044.39
824,824.0,824.0,824,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-27.nc,2016-8-31-13-30,1466,1466,2016,8,31,13,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000352080,17044.27
825,825.0,825.0,825,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-31.nc,2016-8-31-15-30,1470,1470,2016,8,31,15,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000353040,17044.31
826,826.0,826.0,826,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-05.nc,2016-8-31-2-30,1444,1444,2016,8,31,2,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000346800,17044.05
827,827.0,827.0,827,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-25.nc,2016-8-31-12-30,1464,1464,2016,8,31,12,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000351600,17044.25
828,828.0,828.0,828,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-28.nc,2016-8-31-14-0,1467,1467,2016,8,31,14,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000352320,17044.28
829,829.0,829.0,829,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-24.nc,2016-8-31-12-0,1463,1463,2016,8,31,12,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000351360,17044.24
830,830.0,830.0,830,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-06.nc,2016-8-31-3-0,1445,1445,2016,8,31,3,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000347040,17044.06
831,831.0,831.0,831,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-37.nc,2016-8-31-18-30,1476,1476,2016,8,31,18,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000354480,17044.37
832,832.0,832.0,832,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_31/ImageSegTOOCAN_20160831-46.nc,2016-8-31-23-0,1485,1485,2016,8,31,23,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000356640,17044.46
